timestamp,overall_score,neck_alignment,shoulder_level,forward_head,spine_straight,body_lean,feedback_count,has_issues
2025-06-10T20:13:25.783748,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.814548,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.860591,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.891310,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.922759,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.969681,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.031485,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.063591,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.111100,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.157924,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.188904,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.235374,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.265984,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.313281,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.343894,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.374499,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.420680,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.481234,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.528638,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.559884,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.590809,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.637462,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.667529,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.714697,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.746234,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.778400,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.824840,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.871357,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.901773,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.947720,100,100,100,100,100,100,0,False
2025-06-10T20:13:26.978192,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.009744,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.055755,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.087370,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.118277,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.164675,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.195805,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.211524,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.257687,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.272769,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.334912,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.367156,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.398772,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.429271,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.475451,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.490827,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.521632,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.567369,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.599014,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.630133,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.675875,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.722714,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.737427,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.783601,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.813867,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.875843,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.906056,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.936325,100,100,100,100,100,100,0,False
2025-06-10T20:13:27.967869,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.013100,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.028290,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.073346,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.119697,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.150253,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.165688,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.211809,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.243255,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.259050,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.290941,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.337966,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.384721,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.430724,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.446283,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.477424,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.508380,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.555322,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.586152,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.617251,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.647631,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.678418,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.724755,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.787612,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.818896,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.849968,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.881118,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.911414,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.926608,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.957250,100,100,100,100,100,100,0,False
2025-06-10T20:13:28.987710,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.034170,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.064049,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.096037,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.126582,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.187597,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.218420,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.264393,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.280185,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.326331,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.372625,100,100,100,100,100,100,0,False
2025-06-10T20:13:29.403209,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.434073,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.480113,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.527576,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.557768,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.604975,88,100,40,100,100,100,1,True
